bowler,format,innings,balls,runs_conceded,wickets,overs,economy,avg,sr,perf_index
D Sabir,T20,20,351,346,28,58.5,5.91,12.36,12.54,23.24
L Balaji,ODI,20,1005,928,28,167.5,5.54,33.14,35.89,12.5
SA Mohandas,T20,26,554,685,28,92.3,7.42,24.46,19.79,11.05
LM Jongwe,ODI,29,1126,1083,28,187.7,5.77,38.68,40.21,10.97
SO Tikolo,ODI,26,1089,919,28,181.5,5.06,32.82,38.89,14.02
S Vashisht,T20,23,475,491,28,79.2,6.2,17.54,16.96,16.99
Avesh Khan,T20,23,497,720,28,82.8,8.7,25.71,17.75,8.93
Ayan Khan,ODI,33,1175,937,28,195.8,4.79,33.46,41.96,14.84
CB Mpofu,T20,26,608,916,28,101.3,9.04,32.71,21.71,6.67
Harbhajan Singh,T20,26,601,626,28,100.2,6.25,22.36,21.46,14.04
Hisham Sheikh,T20,29,589,686,28,98.2,6.99,24.5,21.04,11.73
Tapash Baisya,ODI,25,1170,1112,28,195.0,5.7,39.71,41.79,11.01
R Hekure,ODI,22,925,706,28,154.2,4.58,25.21,33.04,17.78
JA Burrows,T20,20,366,442,28,61.0,7.25,15.79,13.07,16.53
HA Chohan,T20,24,473,476,28,78.8,6.04,17.0,16.89,17.77
Mohammad Hasnain,T20,26,622,868,28,103.7,8.37,31.0,22.21,7.8
AR Cusack,T20,26,485,578,28,80.8,7.15,20.64,17.32,13.22
Mohammad Nawaz,ODI,27,1308,1132,28,218.0,5.19,40.43,46.71,12.39
DG Blampied,T20,30,491,568,28,81.8,6.94,20.29,17.54,13.77
DAJ Bracewell,ODI,21,1039,850,28,173.2,4.91,30.36,37.11,15.06
Shahadat Hossain,ODI,33,1593,1598,28,265.5,6.02,57.07,56.89,8.7
J Rasu,T20,23,467,565,28,77.8,7.26,20.18,16.68,13.3
T Tshose,T20,30,509,615,28,84.8,7.25,21.96,18.18,12.39
IK Pathan,T20,22,457,598,28,76.2,7.85,21.36,16.32,11.8
EB Ringera,T20,24,464,538,27,77.3,6.96,19.93,17.19,13.89
MJ Mason,ODI,20,970,826,27,161.7,5.11,30.59,35.93,14.28
KJ Abbott,T20,20,433,557,27,72.2,7.71,20.63,16.04,12.33
Festus Benn,T20,20,377,406,27,62.8,6.46,15.04,13.96,18.62
XC Bartlett,T20,20,410,540,27,68.3,7.91,20.0,15.19,12.41
A Wright,T20,25,528,459,27,88.0,5.22,17.0,19.56,19.88
GM Muthui,T20,23,435,498,27,72.5,6.87,18.44,16.11,14.99
R Coker,T20,29,577,550,27,96.2,5.72,20.37,21.37,16.24
MN Samuels,T20,30,491,645,27,81.8,7.89,23.89,18.19,10.55
SE Bond,T20,20,480,553,27,80.0,6.91,20.48,17.78,13.67
SMSM Senanayake,T20,23,493,562,27,82.2,6.84,20.81,18.26,13.61
Mohammed Nadeem,T20,24,521,556,27,86.8,6.41,20.59,19.3,14.55
TT Bresnan,T20,34,693,899,27,115.5,7.78,33.3,25.67,8.01
Mohammed Shami,T20,24,504,739,27,84.0,8.8,27.37,18.67,8.23
Huzaifa Mohammed,T20,23,530,550,27,88.3,6.23,20.37,19.63,15.04
CN Greaves,T20,29,470,588,27,78.3,7.51,21.78,17.41,12.03
Anjar Tadarus,T20,35,494,586,27,82.3,7.12,21.7,18.3,12.67
NN Odhiambo,T20,26,433,604,26,72.2,8.37,23.23,16.65,10.17
PR Stirling,ODI,45,1485,1227,26,247.5,4.96,47.19,57.12,12.31
E Otieno,T20,26,470,564,26,78.3,7.2,21.69,18.08,12.5
Usman Khalid,T20,28,523,520,26,87.2,5.96,20.0,20.12,15.81
C Karunaratne,T20,40,720,948,26,120.0,7.9,36.46,27.69,7.22
R Ravindra,T20,24,393,448,26,65.5,6.84,17.23,15.12,15.89
M Magagula,T20,22,396,532,26,66.0,8.06,20.46,15.23,11.91
Z Burgess,T20,27,548,515,26,91.3,5.64,19.81,21.08,16.71
Khalid Zahid,T20,25,556,627,26,92.7,6.76,24.12,21.38,12.19
S Joseph,T20,20,428,643,26,71.3,9.02,24.73,16.46,8.85
D Ravu,T20,21,399,488,26,66.5,7.34,18.77,15.35,13.95
Kushal Malla,ODI,31,1087,782,26,181.2,4.32,30.08,41.81,17.35
PM Seelaar,ODI,27,1277,1028,26,212.8,4.83,39.54,49.12,13.6
BC Fortuin,T20,27,494,657,26,82.3,7.98,25.27,19.0,9.86
V Ganesan,T20,29,475,457,26,79.2,5.77,17.58,18.27,17.87
BA Stokes,T20,34,607,826,26,101.2,8.16,31.77,23.35,7.78
Jaspreet Singh,T20,24,419,489,26,69.8,7.01,18.81,16.12,14.46
C Karunaratne,ODI,23,837,787,26,139.5,5.64,30.27,32.19,12.74
Muhammad Jabir,T20,25,521,709,26,86.8,8.17,27.27,20.04,8.95
Muhammad Asim,T20,28,485,576,26,80.8,7.13,22.15,18.65,12.39
Junaid Khan,T20,26,546,575,26,91.0,6.32,22.12,21.0,13.91
Shoaib Malik,T20,47,549,649,26,91.5,7.09,24.96,21.12,11.29
K Mirpuri,T20,27,559,744,26,93.2,7.98,28.62,21.5,8.8
Mohammad Ghazanfar,T20,25,491,544,26,81.8,6.65,20.92,18.88,13.85
Raza Iqbal,T20,23,451,430,26,75.2,5.72,16.54,17.35,18.82
Utkarsh Jain,T20,22,462,435,25,77.0,5.65,17.4,18.48,18.26
A Nanda,T20,25,530,656,25,88.3,7.43,26.24,21.2,10.25
Yasir Shah,ODI,24,1302,1165,25,217.0,5.37,46.6,52.08,10.97
Nasir Hossain,ODI,42,1248,990,25,208.0,4.76,39.6,49.92,13.78
PWA Mulder,ODI,25,883,895,25,147.2,6.08,35.8,35.32,10.48
Gaurav Tiwari,T20,22,468,500,25,78.0,6.41,20.0,18.72,14.78
Naveed Ahmed,T20,26,515,608,25,85.8,7.09,24.32,20.6,11.48
H Thaker,ODI,24,1095,797,25,182.5,4.37,31.88,43.8,16.66
Mehran Khan,T20,27,462,545,25,77.0,7.08,21.8,18.48,12.6
B Arora,T20,35,634,779,25,105.7,7.37,31.16,25.36,8.97
B Shikongo,ODI,22,865,848,25,144.2,5.88,33.92,34.6,11.29
Raaz Mohammad,T20,21,399,459,25,66.5,6.9,18.36,15.96,14.9
MK Thakur,T20,21,467,450,25,77.8,5.78,18.0,18.68,17.48
ASF Sirah,T20,20,404,457,25,67.3,6.79,18.28,16.16,15.15
JEC Franklin,T20,26,337,422,25,56.2,7.51,16.88,13.48,15.04
JN Loftie-Eaton,T20,33,441,559,25,73.5,7.61,22.36,17.64,11.51
Shoaib Malik,Test,20,1938,1064,25,323.0,3.29,42.56,77.52,21.41
RJ Sidebottom,ODI,22,1182,974,25,197.0,4.94,38.96,47.28,13.21
DAS Gunaratne,ODI,25,846,735,25,141.0,5.21,29.4,33.84,14.14
Atif Mehmood,T20,23,470,417,25,78.3,5.33,16.68,18.8,19.72
CJPF Kalugamage,T20,21,418,484,25,69.7,6.94,19.36,16.72,14.18
KS Leverock,T20,22,436,469,25,72.7,6.45,18.76,17.44,15.47
Amar Sharma,T20,31,658,863,25,109.7,7.87,34.52,26.32,7.55
Ahmadullah Shinwari,T20,27,516,576,25,86.0,6.7,23.04,20.64,12.69
SM Ervine,ODI,20,789,703,25,131.5,5.35,28.12,31.56,14.06
GB Brent,ODI,23,1140,900,25,190.0,4.74,36.0,45.6,14.38
M Dillon,ODI,20,980,737,25,163.3,4.51,29.48,39.2,16.62
ZGF Foulkes,T20,21,466,643,24,77.7,8.28,26.79,19.42,8.87
Kushal Malla,T20,28,390,414,24,65.0,6.37,17.25,16.25,16.67
FA Allen,T20,35,612,784,24,102.0,7.69,32.67,25.5,8.11
Fanyan Mughal,T20,24,499,586,24,83.2,7.04,24.42,20.79,11.48
Asif Ali,T20,35,461,486,24,76.8,6.33,20.25,19.21,14.76
Aqib Ilyas,ODI,27,907,719,24,151.2,4.76,29.96,37.79,15.46
Khaled Mahmud,ODI,27,1227,1047,24,204.5,5.12,43.62,51.12,11.98
B Fernando,T20,23,497,666,24,82.8,8.04,27.75,20.71,8.87
PADLR Sandakan,T20,20,484,568,24,80.7,7.04,23.67,20.17,11.78
NN Odhiambo,ODI,22,936,883,24,156.0,5.66,36.79,39.0,11.29
Sufyan Mehmood,T20,23,408,567,24,68.0,8.34,23.62,17.0,9.95
DK Shetty,T20,25,427,449,24,71.2,6.31,18.71,17.79,15.74
N Dutta,T20,24,473,507,24,78.8,6.43,21.12,19.71,14.08
HR Walsh,ODI,22,985,908,24,164.2,5.53,37.83,41.04,11.48
B Khumalo,T20,27,485,585,24,80.8,7.24,24.38,20.21,11.17
SR Patel,ODI,31,1149,1082,23,191.5,5.65,47.04,49.96,10.01
SC Ganguly,ODI,38,1051,895,23,175.2,5.11,38.91,45.7,12.52
S Pradhan,T20,25,445,495,23,74.2,6.67,21.52,19.35,13.36
Noman Amjad,T20,29,594,709,23,99.0,7.16,30.83,25.83,9.28
FH Edwards,T20,26,481,629,23,80.2,7.84,27.35,20.91,9.21
WP Masakadza,ODI,31,1381,1168,23,230.2,5.07,50.78,60.04,11.43
P Utseya,T20,30,654,782,23,109.0,7.17,34.0,28.43,8.59
Mohammad Nadeem,ODI,28,825,762,23,137.5,5.54,33.13,35.87,12.21
K Senamontree,T20,23,371,416,23,61.8,6.73,18.09,16.13,15.3
Jay Odedra,ODI,22,867,579,23,144.5,4.01,25.17,37.7,20.1
DA Blignaut,T20,21,297,345,23,49.5,6.97,15.0,12.91,17.55
B Masaba,T20,23,368,338,23,61.3,5.51,14.7,16.0,21.01
N Pokana,T20,23,493,599,23,82.2,7.29,26.04,21.43,10.44
Pyae Phyo Wai,T20,25,420,457,23,70.0,6.53,19.87,18.26,14.53
A Symonds,Test,22,1956,846,23,326.0,2.6,36.78,85.04,28.75
Najjam Shahzad,T20,23,427,463,23,71.2,6.5,20.13,18.57,14.43
H Lin Aung,T20,20,346,394,23,57.7,6.83,17.13,15.04,15.85
KMA Paul,T20,21,451,650,22,75.2,8.64,29.55,20.5,7.55
LS Livingstone,ODI,29,892,938,22,148.7,6.31,42.64,40.55,8.83
Abdul Razzaq,T20,21,330,386,22,55.0,7.02,17.55,15.0,15.15
D Abeyrathna,T20,20,328,380,22,54.7,6.95,17.27,14.91,15.48
MD Shanaka,ODI,40,938,844,22,156.3,5.4,38.36,42.64,11.65
Shah Abrar Hussain,T20,23,453,564,22,75.5,7.47,25.64,20.59,10.25
I Udana,ODI,20,908,928,22,151.3,6.13,42.18,41.27,9.28
H Carlyon,T20,25,378,364,22,63.0,5.78,16.55,17.18,18.48
H Masakadza,ODI,60,1249,1174,22,208.2,5.64,53.36,56.77,9.46
NK Aneesh Kumar,T20,26,525,592,22,87.5,6.77,26.91,23.86,10.98
NP Kenjige,T20,23,450,568,22,75.0,7.57,25.82,20.45,10.04
DS Lehmann,ODI,21,590,497,22,98.3,5.06,22.59,26.82,16.77
JP Duminy,T20,41,476,607,22,79.3,7.65,27.59,21.64,9.35
VJ Kingma,T20,24,520,625,22,86.7,7.21,28.41,23.64,9.78
RD Berrington,T20,30,425,534,22,70.8,7.54,24.27,19.32,10.65
AC Agar,ODI,22,1107,970,22,184.5,5.26,44.09,50.32,11.35
M Sarenac,T20,23,396,530,22,66.0,8.03,24.09,18.0,10.05
O Thomas,T20,20,440,661,22,73.3,9.02,30.05,20.0,7.01
CO Obuya,T20,20,326,339,22,54.3,6.24,15.41,14.82,18.47
Mohammad Nawaz (3),T20,24,468,545,21,78.0,6.99,25.95,22.29,10.86
Sultan Ahmed,T20,21,433,403,21,72.2,5.58,19.19,20.62,17.0
OD Hald,T20,21,348,399,21,58.0,6.88,19.0,16.57,14.32
Waji Ul Hassan,T20,24,377,475,21,62.8,7.56,22.62,17.95,11.28
M Yunusu Issa,T20,22,337,393,21,56.2,6.99,18.71,16.05,14.33
Luqman Butt,T20,31,541,652,21,90.2,7.23,31.05,25.76,9.01
Agha Salman,Test,21,1860,1190,21,310.0,3.84,56.67,88.57,16.3
CO Obuya,ODI,23,860,697,21,143.3,4.86,33.19,40.95,14.2
Thuya Aung,T20,20,369,363,21,61.5,5.9,17.29,17.57,17.54
JDP Oram,T20,32,565,814,21,94.2,8.64,38.76,26.9,5.67
T Rossi,T20,21,384,431,21,64.0,6.73,20.52,18.29,13.68
DJ Hussey,T20,25,370,406,21,61.7,6.58,19.33,17.62,14.66
Soumya Sarkar,ODI,26,568,572,21,94.7,6.04,27.24,27.05,12.32
ROC Dunka,T20,24,468,598,21,78.0,7.67,28.48,22.29,9.01
C Green,ODI,25,841,788,21,140.2,5.62,37.52,40.05,11.1
E Mathew,T20,20,360,469,21,60.0,7.82,22.33,17.14,11.04
CL Cairns,ODI,23,948,782,20,158.0,4.95,39.1,47.4,12.83
Anwar Ali,ODI,21,917,930,20,152.8,6.09,46.5,45.85,8.77
SB Styris,T20,21,313,358,20,52.2,6.86,17.9,15.65,15.07
LL Tsotsobe,T20,23,482,559,20,80.3,6.96,27.95,24.1,10.23
D Johnson,T20,20,354,463,20,59.0,7.85,23.15,17.7,10.59
SPD Smith,Test,48,1472,1020,20,245.3,4.16,51.0,73.6,14.86
Ali Khan,T20,20,454,642,20,75.7,8.48,32.1,22.7,7.01
CH Gayle,T20,30,394,451,20,65.7,6.86,22.55,19.7,12.38
CJ Anderson,T20,27,445,602,20,74.2,8.11,30.1,22.25,7.94
ST Jayasuriya,T20,23,353,431,20,58.8,7.33,21.55,17.65,12.08
AK Markram,ODI,39,1171,1129,20,195.2,5.78,56.45,58.55,8.75
MH Yardy,ODI,27,1289,1052,20,214.8,4.9,52.6,64.45,11.65
KS Bagabena,T20,33,512,561,20,85.3,6.58,28.05,25.6,10.89
R Ravindra,ODI,23,958,919,20,159.7,5.75,45.95,47.9,9.65
N Boje,ODI,20,933,714,20,155.5,4.59,35.7,46.65,14.69
NA Greenwood,T20,20,353,349,20,58.8,5.94,17.45,17.65,17.27
C Pengkumta,T20,25,412,471,20,68.7,6.86,23.55,20.6,11.94
Delawar Khan,T20,21,346,418,19,57.7,7.24,22.0,18.21,11.96
TJG Pringle,T20,22,423,466,19,70.5,6.61,24.53,22.26,11.96
B Kgosiemang,T20,22,375,475,19,62.5,7.6,25.0,19.74,10.14
NM Odhiambo,T20,26,414,541,19,69.0,7.84,28.47,21.79,8.68
MR Marsh,T20,25,316,391,19,52.7,7.42,20.58,16.63,12.41
MWR Stokes,T20,25,411,481,19,68.5,7.02,25.32,21.63,10.93
MW Forde,T20,20,401,522,19,66.8,7.81,27.47,21.11,9.02
KIC Asalanka,ODI,32,753,623,19,125.5,4.96,32.79,39.63,13.81
DC Smith,T20,24,415,534,19,69.2,7.72,28.11,21.84,8.95
JT Brassell,T20,23,391,571,19,65.2,8.76,30.05,20.58,7.14
DJ Hussey,ODI,37,791,694,19,131.8,5.27,36.53,41.63,12.13
PD Collingwood,Test,44,1789,984,19,298.2,3.3,51.79,94.16,20.03
SJ Benn,T20,23,491,614,19,81.8,7.51,32.32,25.84,8.19
GC Smith,ODI,33,841,732,19,140.2,5.22,38.53,44.26,11.97
Agha Salman,ODI,34,1059,1037,19,176.5,5.88,54.58,55.74,8.55
LJ Wright,T20,22,335,468,18,55.8,8.39,26.0,18.61,8.71
Mohammad Irfan,T20,22,467,575,18,77.8,7.39,31.94,25.94,8.4
PR Stirling,T20,35,490,577,18,81.7,7.06,32.06,27.22,8.9
Alok Kapali,ODI,25,744,648,18,124.0,5.23,36.0,41.33,12.28
M Taylor,T20,23,491,550,18,81.8,6.72,30.56,27.28,9.85
VD Adewoye,T20,21,301,394,18,50.2,7.85,21.89,16.72,11.07
DM de Silva,T20,26,307,347,18,51.2,6.78,19.28,17.06,14.18
KD Shah,T20,29,440,546,17,73.3,7.45,32.12,25.88,8.22
JM Kemp,ODI,31,678,531,17,113.0,4.7,31.24,39.88,14.95
W Madhevere,ODI,26,758,661,17,126.3,5.23,38.88,44.59,11.76
M Dixit,T20,20,358,436,17,59.7,7.3,25.65,21.06,10.26
RS Bopara,T20,21,337,395,17,56.2,7.03,23.24,19.82,11.64
Mujeeb-ur-Rehman,T20,21,367,434,17,61.2,7.09,25.53,21.59,10.64
EC Rainsford,ODI,22,1070,805,17,178.3,4.51,47.35,62.94,13.34
J Singye,T20,23,394,440,17,65.7,6.7,25.88,23.18,11.2
Mehedi Hasan Miraz,T20,29,447,635,17,74.5,8.52,37.35,26.29,5.81
SR Thompson,T20,24,406,531,17,67.7,7.84,31.24,23.88,7.86
LJ Wright,ODI,36,1050,910,17,175.0,5.2,53.53,61.76,10.36
W Madhevere,T20,35,422,487,16,70.3,6.93,30.44,26.38,9.4
Surya Anand,T20,26,451,451,16,75.2,6.0,28.19,28.19,11.86
D Elgar,Test,34,1036,683,16,172.7,3.95,42.69,64.75,16.38
M Labuschagne,Test,35,1332,853,16,222.0,3.84,53.31,83.25,16.04
CK Jasmat,T20,20,415,460,16,69.2,6.65,28.75,25.94,10.35
GD Phillips,ODI,31,808,819,16,134.7,6.08,51.19,50.5,8.11
Danyal Raja,T20,20,401,528,16,66.8,7.9,33.0,25.06,7.34
A Martel,T20,20,343,398,16,57.2,6.96,24.88,21.44,11.05
PD Collingwood,T20,20,238,353,16,39.7,8.89,22.06,14.88,9.67
TM Head,Test,33,1020,645,16,170.0,3.79,40.31,63.75,17.56
Mosaddek Hossain,ODI,37,1016,904,16,169.3,5.34,56.5,63.5,9.66
Iftikhar Ahmed,ODI,20,748,695,16,124.7,5.57,43.44,46.75,10.13
DT Christian,T20,21,285,409,16,47.5,8.61,25.56,17.81,8.52
U Aryaman Sunil,T20,22,428,635,16,71.3,8.91,39.69,26.75,4.97
Umair Qasim,T20,20,365,438,16,60.8,7.2,27.38,22.81,9.8
AK Markram,T20,38,416,592,16,69.3,8.54,37.0,26.0,5.8
RM Dorji,T20,20,310,418,16,51.7,8.09,26.12,19.38,8.94
KK Lin Thu,T20,20,360,333,16,60.0,5.55,20.81,22.5,15.89
Junaid Siddiqui,T20,20,399,372,16,66.5,5.59,23.25,24.94,14.61
Farhad Reza,ODI,25,830,793,15,138.3,5.73,52.87,55.33,8.76
S Matsikenyeri,ODI,26,687,563,15,114.5,4.92,37.53,45.8,12.84
Mohammad Ashraful,Test,30,927,688,15,154.5,4.45,45.87,61.8,13.58
JWM Dalrymple,ODI,23,868,686,15,144.7,4.74,45.73,57.87,12.44
KM Dabengwa,ODI,24,715,647,15,119.2,5.43,43.13,47.67,10.48
Mosaddek Hossain,T20,21,286,354,15,47.7,7.42,23.6,19.07,10.77
RD Berrington,ODI,35,762,647,15,127.0,5.09,43.13,50.8,11.51
C de Grandhomme,T20,21,336,470,15,56.0,8.39,31.33,22.4,7.05
K Bhurtel,ODI,20,532,440,14,88.7,4.96,31.43,38.0,13.8
M Choamba,T20,20,275,243,14,45.8,5.31,17.36,19.64,18.7
SK Raina,T20,27,362,450,14,60.3,7.46,32.14,25.86,8.04
S Desungnoen,T20,25,344,395,14,57.3,6.89,28.21,24.57,9.96
HN Ya France,ODI,21,726,556,14,121.0,4.6,39.71,51.86,13.63
S Bau,T20,30,355,392,14,59.2,6.62,28.0,25.36,10.51
KR Mayers,ODI,23,709,647,14,118.2,5.47,46.21,50.64,9.97
RP Burl,ODI,26,568,607,14,94.7,6.41,43.36,40.57,8.04
JA Fitzgerald,T20,21,406,608,13,67.7,8.98,46.77,31.23,3.87
Haris Sohail,ODI,20,613,593,13,102.2,5.8,45.62,47.15,9.09
TM Dilshan,T20,25,261,315,13,43.5,7.24,24.23,20.08,10.69
AD Mascarenhas,ODI,20,829,658,13,138.2,4.76,50.62,63.77,11.77
S Bau,ODI,20,613,492,13,102.2,4.81,37.85,47.15,13.04
T Jamtsho,T20,20,270,330,13,45.0,7.33,25.38,20.77,10.11
A Limdawala,T20,22,314,379,13,52.3,7.25,29.15,24.15,9.05
Rafiullah,T20,20,293,419,12,48.8,8.59,34.92,24.42,5.9
Waqas Barkat,T20,21,294,388,12,49.0,7.92,32.33,24.5,7.25
C Bah,T20,21,374,405,12,62.3,6.5,33.75,31.17,9.23
Soumya Sarkar,T20,26,287,416,12,47.8,8.7,34.67,23.92,5.83
DV Varghese,T20,22,306,456,12,51.0,8.94,38.0,25.5,4.99
PW Borren,T20,21,351,411,12,58.5,7.03,34.25,29.25,8.17
P Khadka,T20,22,290,314,12,48.3,6.5,26.17,24.17,11.22
F Behardien,ODI,34,716,694,12,119.3,5.82,57.83,59.67,7.97
R Hekure,T20,21,314,379,12,52.3,7.25,31.58,26.17,8.39
Mominul Haque,Test,39,889,594,11,148.2,4.01,54.0,80.82,14.63
RG Sharma,ODI,40,614,538,11,102.3,5.26,48.91,55.82,10.11
GD Phillips,T20,22,232,320,11,38.7,8.27,29.09,21.09,7.56
SR Tendulkar,Test,40,1319,877,11,219.8,3.99,79.73,119.91,13.58
Afif Hossain,T20,21,193,252,10,32.2,7.83,25.2,19.3,9.32
SC Ganguly,Test,25,1043,509,10,173.8,2.93,50.9,104.3,22.4
Iftikhar Ahmed,T20,25,299,357,10,49.8,7.17,35.7,29.9,7.56
KP Pietersen,Test,45,1310,919,10,218.3,4.21,91.9,131.0,12.09
C Munro,ODI,25,563,483,9,93.8,5.15,53.67,62.56,9.9
RP Arnold,ODI,20,388,367,9,64.7,5.67,40.78,43.11,9.75
Aarif Sheikh,ODI,34,905,701,9,150.8,4.65,77.89,100.56,10.43
Yuvraj Singh,Test,23,866,523,9,144.3,3.62,58.11,96.22,16.41
MN Waller,ODI,25,580,497,9,96.7,5.14,55.22,64.44,9.82
TAM Siriwardana,ODI,21,608,554,9,101.3,5.47,61.56,67.56,8.44
KP Pietersen,ODI,22,403,368,8,67.2,5.48,46.0,50.38,9.55
NJ Astle,ODI,21,404,346,8,67.3,5.14,43.25,50.5,10.86
CS MacLeod,ODI,33,774,635,8,129.0,4.92,79.38,96.75,9.3
Azhar Ali,Test,31,868,630,8,144.7,4.35,78.75,108.5,11.54
Mohammad Ashraful,ODI,26,404,358,8,67.3,5.32,44.75,50.5,10.14
MD Gunathilaka,ODI,22,405,375,8,67.5,5.56,46.88,50.62,9.24
MEK Hussey,Test,25,596,324,7,99.3,3.26,46.29,85.14,19.68
Ayan Khan,T20,26,290,389,7,48.3,8.05,55.57,41.43,3.82
Younis Khan,Test,20,598,366,7,99.7,3.67,52.29,85.43,16.32
V Kohli,ODI,50,671,681,7,111.8,6.09,97.29,95.86,5.48
AK Markram,Test,21,627,324,6,104.5,3.1,54.0,104.5,20.21
IJL Trott,Test,28,708,413,6,118.0,3.5,68.83,118.0,16.33
AJ Finch,ODI,21,287,259,5,47.8,5.42,51.8,57.4,8.96
DJ Mitchell,Test,21,780,404,4,130.0,3.11,101.0,195.0,18.1
