bowler,format,innings,balls,runs_conceded,wickets,overs,economy,avg,sr,perf_index
A Nortje,T20,45,991,1237,62,165.2,7.49,19.95,15.98,14.64
YM Nkanya,T20,46,935,820,62,155.8,5.26,13.23,15.08,25.26
JA Duffy,T20,45,964,1246,62,160.7,7.75,20.1,15.55,14.17
J Miyaji,T20,39,830,849,62,138.3,6.14,13.69,13.39,22.38
AD Russell,T20,73,1234,1895,62,205.7,9.21,30.56,19.9,8.63
Naseem Shah,Test,20,3475,2190,62,579.2,3.78,35.32,56.05,21.67
NP Kenjige,ODI,57,2820,1995,62,470.0,4.24,32.18,45.48,19.58
Rishad Hossain,T20,48,995,1342,62,165.8,8.09,21.65,16.05,12.9
JC Archer,T20,45,1034,1400,62,172.3,8.13,22.58,16.68,12.42
Muhammad Nadir,T20,54,1259,1095,62,209.8,5.22,17.66,20.31,21.07
Imran Tahir,T20,37,853,950,62,142.2,6.68,15.32,13.76,19.47
NT Ellis,T20,36,795,995,61,132.5,7.51,16.31,13.03,17.11
Ahmed Raza,ODI,47,2523,1757,61,420.5,4.18,28.8,41.36,20.5
JC Archer,ODI,34,1860,1528,61,310.0,4.93,25.05,30.49,18.36
Imran Khan,T20,56,1048,1225,61,174.7,7.01,20.08,17.18,15.31
Naseem Shah,ODI,31,1689,1556,61,281.5,5.53,25.51,27.69,16.29
BAW Mendis,T20,37,851,945,61,141.8,6.66,15.49,13.95,19.3
B Muzarabani,ODI,47,2427,2070,61,404.5,5.12,33.93,39.79,15.63
Rahat Ali,Test,21,4260,2333,61,710.0,3.29,38.25,69.84,24.82
PVD Chameera,ODI,52,2312,2128,60,385.3,5.52,35.47,38.53,14.06
C Kyewuta,T20,42,886,965,60,147.7,6.53,16.08,14.77,18.97
RM Koda,T20,64,1260,1373,60,210.0,6.54,22.88,21.0,14.79
R Abdulkareem,T20,47,767,807,60,127.8,6.31,13.45,12.78,22.22
SMSM Senanayake,ODI,47,2384,1892,60,397.3,4.76,31.53,39.73,17.3
KJ O'Brien,ODI,67,2392,2221,60,398.7,5.57,37.02,39.87,13.7
IK Gamantika,T20,54,990,975,60,165.0,5.91,16.25,16.5,20.18
T Panyangara,ODI,50,2675,2463,60,445.8,5.52,41.05,44.58,13.38
Imran Tahir,Test,20,3955,2362,60,659.2,3.58,39.37,65.92,22.41
L Ngidi,Test,20,2595,1409,59,432.5,3.26,23.88,43.98,27.65
KA Pollard,ODI,77,2226,2086,59,371.0,5.62,35.36,37.73,13.73
Sohail Tanvir,T20,55,1239,1457,59,206.5,7.06,24.69,21.0,13.06
AF Milne,ODI,47,2261,2023,59,376.8,5.37,34.29,38.32,14.64
JN Frylinck,T20,48,958,1097,59,159.7,6.87,18.59,16.24,16.36
JN Gillespie,ODI,37,2013,1364,59,335.5,4.07,23.12,34.12,22.66
BJ McCarthy,ODI,35,1835,1786,59,305.8,5.84,30.27,31.1,14.07
CJ Anderson,ODI,42,1507,1494,59,251.2,5.95,25.32,25.54,15.14
MA Leask,T20,56,949,1185,58,158.2,7.49,20.43,16.36,14.19
B Ward,T20,36,802,768,58,133.7,5.74,13.24,13.83,23.73
Sayed Monib,T20,36,737,981,58,122.8,7.99,16.91,12.71,15.8
D Gough,ODI,38,2004,1504,58,334.0,4.5,25.93,34.55,19.6
JJ Smit,ODI,39,1767,1268,58,294.5,4.31,21.86,30.47,21.95
V Sehwag,ODI,86,2475,2083,58,412.5,5.05,35.91,42.67,15.38
Jasdeep Singh,ODI,42,1959,1786,58,326.5,5.47,30.79,33.78,14.92
JEC Franklin,ODI,65,2535,2166,58,422.5,5.13,37.34,43.71,14.92
UWMBCA Welegedara,Test,21,3882,2296,58,647.0,3.55,39.59,66.93,22.45
KA Maharaj,T20,52,1097,1426,58,182.8,7.8,24.59,18.91,11.88
IS Sodhi,Test,21,4047,2563,58,674.5,3.8,44.19,69.78,20.43
N Vanua,T20,43,905,1111,58,150.8,7.37,19.16,15.6,15.11
JS Patel,Test,22,5165,2875,57,860.8,3.34,50.44,90.61,23.38
MR Marsh,ODI,69,2257,2047,57,376.2,5.44,35.91,39.6,14.06
MA Wood,T20,36,793,1099,57,132.2,8.31,19.28,13.91,13.68
Rohan Mustafa,T20,43,893,1008,57,148.8,6.77,17.68,15.67,17.08
MJ Clarke,ODI,92,2264,1868,56,377.3,4.95,33.36,40.43,16.01
M Mooketsi,T20,43,964,979,56,160.7,6.09,17.48,17.21,18.59
CRD Fernando,Test,22,3496,2106,56,582.7,3.61,37.61,62.43,22.07
A Dananjaya,ODI,38,2024,1740,56,337.3,5.16,31.07,36.14,15.71
RA Jadeja,T20,68,1327,1584,56,221.2,7.16,28.29,23.7,11.62
NM Hauritz,ODI,48,2402,1918,56,400.3,4.79,34.25,42.89,16.46
Zeeshan Maqsood,ODI,44,2145,1520,56,357.5,4.25,27.14,38.3,20.27
NLTC Perera,T20,66,1116,1702,56,186.0,9.15,30.39,19.93,8.44
N Vanua,ODI,49,2223,1880,56,370.5,5.07,33.57,39.7,15.55
P Useni,T20,58,897,938,55,149.5,6.27,17.05,16.31,18.47
SR Watson,T20,49,963,1230,55,160.5,7.66,22.36,17.51,12.85
S Ravichandran,T20,41,773,630,55,128.8,4.89,11.45,14.05,28.87
Muslim Yar,T20,44,923,1013,55,153.8,6.59,18.42,16.78,16.82
CB Sole,ODI,29,1503,1227,55,250.5,4.9,22.31,27.33,19.19
