batter,format,innings,runs,balls_faced,fours,sixes,strike_rate,avg_per_innings,perf_index
SS Iyer,T20,46,1104,829,90,44,133.17,24.0,23.78
BOP Fernando,Test,21,1104,2226,127,12,49.6,52.57,18.03
K Rabada,Test,70,1102,2139,139,20,51.52,15.74,11.49
CJ Anderson,ODI,43,1102,1044,85,55,105.56,25.63,21.31
Usman Patel,T20,56,1093,856,108,39,127.69,19.52,22.16
SR Taylor,ODI,45,1093,1439,125,24,75.96,24.29,16.2
SPD Smith,T20,54,1090,899,96,26,121.25,20.19,20.61
S Chandramohan,T20,46,1090,956,98,48,114.02,23.7,21.71
L Vincent,ODI,45,1089,1593,113,17,68.36,24.2,14.7
DM Nakrani,T20,64,1088,883,66,67,123.22,17.0,22.14
MJ Santner,T20,88,1087,867,88,42,125.37,12.35,20.34
MJ Santner,Test,28,1085,2310,121,32,46.97,38.75,15.97
PSP Handscomb,Test,20,1079,2236,125,1,48.26,53.95,17.46
F Behardien,ODI,49,1074,1114,79,25,96.41,21.92,17.63
DJ Malan,Test,22,1074,2627,147,1,40.88,48.82,15.82
SM Pollock,Test,25,1072,1774,123,13,60.43,42.88,17.36
Towhid Hridoy,T20,47,1071,899,69,39,119.13,22.79,21.23
NL McCullum,ODI,62,1070,1247,69,33,85.81,17.26,15.72
GJ Delany,T20,67,1069,806,82,49,132.63,15.96,22.24
S Muniandy,T20,81,1068,949,72,40,112.54,13.19,18.59
RP Arnold,ODI,55,1068,1537,71,5,69.49,19.42,12.6
I Liyanage,T20,41,1067,900,116,29,118.56,26.02,21.86
WW Hinds,ODI,38,1066,1626,90,21,65.56,28.05,15.02
Aftab Ahmed,ODI,55,1061,1451,116,22,73.12,19.29,14.58
Imran Anwar,T20,61,1056,878,64,71,120.27,17.31,22.0
IA Karim,T20,40,1055,1027,95,14,102.73,26.38,18.85
Basil Hameed,ODI,45,1051,1458,74,30,72.09,23.36,15.15
Luqman Butt,T20,34,1048,742,90,60,141.24,30.82,26.97
LD Chandimal,T20,61,1048,1032,89,21,101.55,17.18,17.17
DMW Rawlins,T20,34,1045,733,72,68,142.56,30.74,27.32
FDM Karunaratne,ODI,38,1044,1363,100,1,76.6,27.47,15.21
DP Sibley,Test,22,1042,3052,114,1,34.14,47.36,14.22
SM Katich,ODI,31,1041,1517,112,4,68.62,33.58,15.79
Zubaidi Zulkifle,T20,61,1039,760,103,53,136.71,17.03,23.41
MN Waller,ODI,51,1039,1383,106,10,75.13,20.37,14.19
Junaid Siddique,ODI,88,1038,1558,95,17,66.62,11.8,11.69
AD Russell,ODI,47,1034,805,94,57,128.45,22.0,23.51
Afif Hossain,T20,58,1031,888,79,36,116.1,17.78,19.76
JP Faulkner,ODI,51,1025,1018,82,29,100.69,20.1,17.99
PWH de Silva,ODI,53,1024,991,86,33,103.33,19.32,18.43
AP Yadav,T20,41,1024,1019,105,19,100.49,24.98,18.68
S Bau,T20,46,1023,942,88,31,108.6,22.24,19.57
Aizaz Khan,T20,79,1021,951,73,27,107.36,12.92,17.12
C Campher,T20,55,1018,830,80,30,122.65,18.51,20.36
JJ Smit,ODI,49,1018,1407,52,51,72.35,20.78,15.52
L Bruce,T20,41,1015,985,106,16,103.05,24.76,18.77
Milind Kumar,ODI,20,1011,1010,89,27,100.1,50.55,23.98
MD Patel,T20,40,1011,762,106,33,132.68,25.28,23.44
